n_agents,shape,conclusion,steps
8,complete,1.0,166
9,cycle,1.0,574
9,wheel,1.0,272
9,complete,0.0,4
10,cycle,0.0,95
10,wheel,1.0,298
10,complete,1.0,67
5,cycle,0.0,609
5,wheel,1.0,569
5,complete,1.0,437
6,cycle,1.0,504
6,wheel,1.0,511
6,complete,1.0,160
7,cycle,1.0,286
7,wheel,1.0,358
7,complete,1.0,284
8,cycle,1.0,1095
8,wheel,1.0,286
8,complete,1.0,124
9,cycle,1.0,1758
9,wheel,1.0,278
9,complete,0.0,128
10,cycle,1.0,689
10,wheel,1.0,476
10,complete,0.0,64
5,cycle,1.0,430
5,wheel,1.0,96
5,complete,1.0,289
6,cycle,1.0,428
6,wheel,1.0,232
6,complete,1.0,109
7,cycle,1.0,290
7,wheel,1.0,171
7,complete,1.0,169
8,cycle,1.0,789
8,wheel,1.0,413
8,complete,1.0,50
9,cycle,1.0,725
9,wheel,1.0,236
9,complete,0.0,75
10,cycle,1.0,830
10,wheel,1.0,625
10,complete,1.0,118
5,cycle,1.0,460
5,wheel,0.0,165
5,complete,1.0,238
6,cycle,1.0,765
6,wheel,1.0,563
6,complete,1.0,126
7,cycle,1.0,561
7,wheel,1.0,217
7,complete,1.0,64
8,cycle,1.0,1700
8,wheel,1.0,122
8,complete,1.0,80
9,cycle,1.0,584
9,wheel,1.0,295
9,complete,1.0,127
10,cycle,1.0,1933
10,wheel,1.0,285
10,complete,1.0,89
5,cycle,1.0,290
5,wheel,1.0,590
5,complete,1.0,627
6,cycle,1.0,921
6,wheel,1.0,755
6,complete,1.0,382
7,cycle,1.0,473
7,wheel,1.0,218
7,complete,0.0,17
8,cycle,1.0,1154
8,wheel,1.0,233
8,complete,1.0,166
9,cycle,1.0,675
9,wheel,1.0,463
9,complete,1.0,31
10,cycle,1.0,1154
10,wheel,1.0,269
10,complete,1.0,34
5,cycle,1.0,343
5,wheel,1.0,482
5,complete,1.0,189
6,cycle,1.0,477
6,wheel,1.0,73
6,complete,1.0,159
7,cycle,1.0,609
7,wheel,1.0,1449
7,complete,1.0,100
8,cycle,1.0,924
8,wheel,1.0,186
8,complete,1.0,126
9,cycle,1.0,1118
9,wheel,1.0,386
9,complete,1.0,126
10,cycle,1.0,2373
10,wheel,1.0,225
10,complete,1.0,147
5,cycle,1.0,451
5,wheel,0.0,130
5,complete,1.0,215
6,cycle,1.0,1042
6,wheel,1.0,413
6,complete,1.0,226
7,cycle,1.0,878
7,wheel,0.0,23
7,complete,1.0,97
8,cycle,1.0,403
8,wheel,1.0,436
8,complete,1.0,133
9,cycle,1.0,895
9,wheel,1.0,478
9,complete,1.0,62
10,cycle,1.0,414
10,wheel,1.0,542
10,complete,1.0,92
5,cycle,1.0,817
5,wheel,0.0,27
5,complete,0.0,15
6,cycle,1.0,611
6,wheel,1.0,238
6,complete,1.0,177
7,cycle,1.0,321
7,wheel,1.0,806
7,complete,1.0,460
8,cycle,1.0,1161
8,wheel,1.0,195
8,complete,1.0,103
9,cycle,1.0,781
9,wheel,1.0,162
9,complete,1.0,127
10,cycle,1.0,696
10,wheel,1.0,447
10,complete,1.0,70
5,cycle,0.0,14
5,wheel,1.0,274
5,complete,1.0,131
6,cycle,1.0,327
6,wheel,0.0,121
6,complete,1.0,51
7,cycle,1.0,412
7,wheel,1.0,296
7,complete,1.0,154
8,cycle,1.0,1580
8,wheel,1.0,278
8,complete,0.0,130
9,cycle,1.0,405
9,wheel,1.0,602
9,complete,1.0,97
10,cycle,1.0,1221
10,wheel,1.0,387
10,complete,0.0,16
5,cycle,1.0,478
5,wheel,1.0,190
5,complete,1.0,161
6,cycle,1.0,196
6,wheel,1.0,641
6,complete,1.0,86
7,cycle,1.0,820
7,wheel,1.0,271
7,complete,1.0,144
8,cycle,1.0,182
8,wheel,1.0,269
8,complete,1.0,557
9,cycle,1.0,430
9,wheel,1.0,438
9,complete,0.0,64
10,cycle,1.0,549
